"Stop name","City"
"Rękodzielnicza","Wrocław"
"Robotnicza (Cenrozłom)","Wrocław"
"Robotnicza (Centrozłom)","Wrocław"
"ROD Bajki","Wrocław"
"ROD Bielany","Wrocław"
"ROD Mieczyk","Wrocław"
"ROD Oświata","Wrocław"
"ROD Pod Dębem","Wrocław"
"ROD Pod Morwami","Wrocław"
"ROD Storczyk","Wrocław"
"ROD Tysiąclecia","Wrocław"
"ROD Zgoda","Wrocław"
"ROD Źródło Zdrowia","Wrocław"
"Rogowska","Wrocław"
"Rondo","Wrocław"
"rondo Św. Ojca Pio","Wrocław"
"Roweckiego","Wrocław"
"Rozbrat","Wrocław"
"Różanka","Wrocław"
"Rubczaka","Wrocław"
"RUBCZAKA (Stacja kolejowa)","Wrocław"
"Rymarska","Wrocław"
"Rynek","Wrocław"
"Rysia","Wrocław"
"Rzemieślnicza","Wrocław"
"Samotworska","Wrocław"
"SAMOTWÓR-PAŁAC","Wrocław"
"Samotwór - Dębowa","Wrocław"
"SAMOTWÓR - PAŁAC","Wrocław"
"Sanocka","Wrocław"
"Sąsiedzka","Wrocław"
"Semaforowa","Wrocław"
"Serbska","Wrocław"
"SĘPOLNO","Wrocław"
"Siechnice","Wrocław"
"Siechnice - CPN","Wrocław"
"Siechnice - CPN n ż","Wrocław"
"Siechnice - Elektrociepłownia","Wrocław"
"Siechnice - Gimnazjum","Wrocław"
"Siechnice - ogrodnictwo","Wrocław"
"Siechnice - Opolska","Wrocław"
"SIECHNICE - OSIEDLE","Wrocław"
"Siechnice - Staszica","Wrocław"
"Siechnice - Szkolna","Wrocław"
"SIECHNICE - TIM","Wrocław"
"Siechnice - wiadukt","Wrocław"
