"Stop name","City"
"Pruszcz Gdański Rondo Kaszubskie","Gdańsk"
"Pruszcz Gdański Rondo Kociewskie","Gdańsk"
"Pruszcz Gdański Sienkiewicza","Gdańsk"
"Pruszcz Gdański Słowackiego","Gdańsk"
"Pruszcz Gdański Urząd Skarbowy","Gdańsk"
"Pruszcz Gdański Waląga","Gdańsk"
"Pruszcz Gdański Wiśniewskiego","Gdańsk"
"Pruszcz Gdański Wojska Polskiego","Gdańsk"
"Pruszcz Gdański Wysockiego","Gdańsk"
"Pruszcz Gdański Zastawna","Gdańsk"
"Pruszcz Gdański Żwirki i Wigury","Gdańsk"
"Przebiśniegowa","Gdańsk"
"Przegalina","Gdańsk"
"Przegalińska","Gdańsk"
"Przegalińska - Schronisko","Gdańsk"
"Przejazdowo Makro","Gdańsk"
"Przejazdowo Dobrowo","Gdańsk"
"Przejazdowo Jesionowa","Gdańsk"
"Przejazdowo Łąkowa","Gdańsk"
"Przejazdowo Sezonowa","Gdańsk"
"Przemian","Gdańsk"
"Przemyska","Gdańsk"
"Przeróbka","Gdańsk"
"Przybrzeżna","Gdańsk"
"Przychodnia","Gdańsk"
"Przymorze SKM","Gdańsk"
"Przymorze Wielkie","Gdańsk"
"Przyrodników","Gdańsk"
"Przystań","Gdańsk"
"Przystań Żeglugi","Gdańsk"
"Przytulna","Gdańsk"
"Przywidzka","Gdańsk"
"Ptasia","Gdańsk"
"Radarowa","Gdańsk"
"Radiowa","Gdańsk"
"Rafineria","Gdańsk"
"Rafineria - brama 8","Gdańsk"
"Rakietowa","Gdańsk"
"Reformacka","Gdańsk"
"Reja","Gdańsk"
"Rejenta","Gdańsk"
"Rejtana","Gdańsk"
"Reymonta","Gdańsk"
"Rębiechowo Piaskowa","Gdańsk"
"Rębiechowo PKP","Gdańsk"
"Rębiechowo Rębiechowo PKP","Gdańsk"
"Rębowo","Gdańsk"
"Rogalińska","Gdańsk"
"Rozstaje","Gdańsk"
"Równa","Gdańsk"
"Rybacka","Gdańsk"
"Rybaki Górne","Gdańsk"
"Rybołowców","Gdańsk"
"Rynarzewo","Gdańsk"
"Rzeczypospolitej","Gdańsk"
"Rzeźnicka","Gdańsk"
"Sandomierska","Gdańsk"
"Sarnia","Gdańsk"
"Saturna","Gdańsk"
"Sąsiedzka","Gdańsk"
"Schronisko dla zwierząt Promyk","Gdańsk"
"Schuberta","Gdańsk"
"Schumana","Gdańsk"
"SDO Złota Jesień","Gdańsk"
"Siedlce","Gdańsk"
"Siedleckiego","Gdańsk"
"Siedlicka","Gdańsk"
"Sierpowa","Gdańsk"
"Sikorskiego","Gdańsk"
"Skarżyńskiego","Gdańsk"
"Skiby","Gdańsk"
"Skrajna","Gdańsk"
"Słowackiego - Działki","Gdańsk"
"Słowackiego Działki","Gdańsk"
"Smęgorzyno","Gdańsk"
"Smoluchowskiego","Gdańsk"
"Sobieszewko","Gdańsk"
"Sobieszewko Ośrodek","Gdańsk"
"Sobieszewo","Gdańsk"
"Sobieszewo Wyspa","Gdańsk"
"Sobieszewska","Gdańsk"
"Sobieszewska Pastwa 1","Gdańsk"
"Sobieszewska Pastwa 2","Gdańsk"
"Sobótki","Gdańsk"
"Sołdka","Gdańsk"
"Soplicy","Gdańsk"
"Sopocka","Gdańsk"
"Sopot 23 Marca","Gdańsk"
"Sopot 3 Maja","Gdańsk"
"Sopot Bitwy pod Płowcami","Gdańsk"
"Sopot Bohaterów Monte Cassino","Gdańsk"
"Sopot Brodwino","Gdańsk"
"Sopot Brodwino Szkoła","Gdańsk"
"Sopot Chopina","Gdańsk"
"Sopot Goyki","Gdańsk"
"Sopot Grand Hotel","Gdańsk"
"Sopot Grunwaldzka","Gdańsk"
"Sopot Hestii","Gdańsk"
"Sopot Hospicjum","Gdańsk"
"Sopot Hotel Marina","Gdańsk"
"Sopot Junaków","Gdańsk"
"Sopot Kamienny Potok SKM","Gdańsk"
"Sopot Kasztanowa","Gdańsk"
"Sopot Kochanowskiego","Gdańsk"
"Sopot Kolberga","Gdańsk"
"Sopot Korty Tenisowe","Gdańsk"
"Sopot Kraszewskiego","Gdańsk"
"Sopot Malczewskiego","Gdańsk"
"Sopot Małopolska","Gdańsk"
"Sopot Młyńska","Gdańsk"
"Sopot Okrężna","Gdańsk"
"Sopot Osiedle Przylesie","Gdańsk"
"Sopot PKP","Gdańsk"
"Sopot PKP - Marynarzy","Gdańsk"
"Sopot PKP - Niepodległości","Gdańsk"
"Sopot Plac Kusocińskiego","Gdańsk"
"Sopot Polna","Gdańsk"
"Sopot Przylesie","Gdańsk"
"Sopot Reja","Gdańsk"
"Sopot Sanatorium Leśnik","Gdańsk"
"Sopot Sikorskiego","Gdańsk"
"Sopot Smolna","Gdańsk"
"Sopot Uniwersytet Gdański","Gdańsk"
"Sopot Wejherowska","Gdańsk"
"Sopot Władysława IV","Gdańsk"
"Sopot Wybickiego","Gdańsk"
"Sówki","Gdańsk"
"Spacerowa","Gdańsk"
"Spadochroniarzy","Gdańsk"
"Srebrna","Gdańsk"
"Srebrniki","Gdańsk"
"Srebrzysko","Gdańsk"
"Stadion Energa Gdańsk","Gdańsk"
"Stara Piła","Gdańsk"
"Starogardzka","Gdańsk"
"Startowa","Gdańsk"
"Staw Wróbla","Gdańsk"
"Steczka","Gdańsk"
"Sternicza","Gdańsk"
"Stocznia Północna","Gdańsk"
"Stocznia SKM","Gdańsk"
"Stoczniowców","Gdańsk"
"Stogi Plaża","Gdańsk"
"Stokłosy","Gdańsk"
"Stokrotki","Gdańsk"
"Strzelnica","Gdańsk"
"Strzyża PKM","Gdańsk"
"Subisława","Gdańsk"
"Suchanino","Gdańsk"
"Sucharskiego","Gdańsk"
"Sucharskiego - PKP","Gdańsk"
"Sulmin","Gdańsk"
"Sulmin Trakt Gdański","Gdańsk"
"Sulmin Trakt Konny","Gdańsk"
"Sulmin Wrzosowe Wzgórze","Gdańsk"
"Swojska","Gdańsk"
"Szadółki","Gdańsk"
"Szadółki Obwodnica","Gdańsk"
"Szafarnia","Gdańsk"
"Szczęśliwa","Gdańsk"
"Szmaragdowa","Gdańsk"
"Szpital Marynarki Wojennej","Gdańsk"
"Szpital Zakaźny","Gdańsk"
"Sztutowska","Gdańsk"
"Szybowcowa","Gdańsk"
"Śluza","Gdańsk"
"Śnieżna","Gdańsk"
"Śródmieście SKM","Gdańsk"
"Św. Brata Alberta","Gdańsk"
"Św. Wojciech","Gdańsk"
"Św. Wojciech - Ostróżek","Gdańsk"
"Świbnieńska I","Gdańsk"
"Świbnieńska II","Gdańsk"
"Świbnieńska III","Gdańsk"
"Świętego Ducha","Gdańsk"
"Świętokrzyska","Gdańsk"
"Tamka","Gdańsk"
"Tarcice","Gdańsk"
"Targ Rybny","Gdańsk"
"Teatr Miniatura / Radio Gdańsk","Gdańsk"
"Teatr Szekspirowski","Gdańsk"
"Telewizyjna","Gdańsk"
"Terminal - Cargo","Gdańsk"
"Terminal DCT","Gdańsk"
"Tetmajera","Gdańsk"
"Tęczowa","Gdańsk"
"Topazowa","Gdańsk"
"Toruńska","Gdańsk"
"Trałowa - Szkoła","Gdańsk"
"Transportowców","Gdańsk"
"Traugutta","Gdańsk"
"Trawki","Gdańsk"
"Turystyczna","Gdańsk"
"Twarda","Gdańsk"
"Twierdza Wisłoujście","Gdańsk"
"Tysiąclecia","Gdańsk"
"Uczniowska","Gdańsk"
"Ujeścisko","Gdańsk"
"Ukośna","Gdańsk"
"Unimor","Gdańsk"
"Uniwersyteckie Centrum Kliniczne","Gdańsk"
"Uniwersytet","Gdańsk"
"Uniwersytet Gdański","Gdańsk"
"Uniwersytet Medyczny","Gdańsk"
"Uphagena","Gdańsk"
"Uranowa","Gdańsk"
"Urząd Dozoru Technicznego","Gdańsk"
"Urząd Miejski","Gdańsk"
"Uzdrowiskowa","Gdańsk"
"Wagnera","Gdańsk"
"Wały Piastowskie","Gdańsk"
"Warneńska","Gdańsk"
"Wczasy","Gdańsk"
"Westerplatte","Gdańsk"
"Węgorzowa","Gdańsk"
"Węzeł Elbląska","Gdańsk"
"Węzeł Groddecka","Gdańsk"
"Węzeł Harfa","Gdańsk"
"Węzeł Karczemki","Gdańsk"
"Węzeł Kliniczna","Gdańsk"
"Węzeł Lipce","Gdańsk"
"Wieniecka","Gdańsk"
"Wieżycka","Gdańsk"
"Wilanowska","Gdańsk"
"Wileńska","Gdańsk"
"Wiosny Ludów","Gdańsk"
"Wiślinka Brzegowa","Gdańsk"
"Wiślinka Piaskowa","Gdańsk"
